OrderDetailsID,OrderID,ProductName,Quantity,PricePerUnit
1,2262,Clinic Plus Shampoo,1,99
2,115,Maggi Noodles,5,120
3,3872,Harpic Toilet Cleaner,4,300
4,3489,Ariel Detergent,5,99
5,1717,Bournvita,3,99
6,375,Aashirvaad Atta,5,20
7,2722,Good Day Cookies,1,80
8,3330,Britannia Rusk,1,80
9,1164,Good Day Cookies,5,35
10,179,Himalaya Face Wash,4,200
11,1830,Good Day Cookies,4,10
12,3755,Bournvita,5,60
13,2659,Tata Salt,4,120
14,2410,Dettol Liquid,4,20
15,2988,Dettol Liquid,1,50
16,158,Parle-G Biscuits,5,300
17,316,Fortune Oil,1,50
18,1033,Aashirvaad Atta,3,120
19,1493,Dettol Liquid,2,12
20,2789,Godrej Hair Dye,5,70
21,1505,Clinic Plus Shampoo,4,45
22,929,Nestle Milk,3,120
23,1491,Harpic Toilet Cleaner,4,35
24,2177,Good Day Cookies,2,60
25,2954,Tata Salt,4,20
26,2673,Godrej Hair Dye,2,120
27,3105,Good Day Cookies,4,10
28,2951,Himalaya Face Wash,2,120
29,2784,Amul Butter,3,200
30,2541,Red Label Tea,5,50
31,1019,Britannia Rusk,1,12
32,334,Aashirvaad Atta,2,120
33,3777,Red Label Tea,3,300
34,862,Dettol Liquid,1,20
35,3500,Himalaya Face Wash,2,150
36,3904,Aashirvaad Atta,1,50
37,180,Clinic Plus Shampoo,3,12
38,153,Dove Soap,2,120
39,3850,Aashirvaad Atta,3,50
40,2596,Maggi Noodles,1,180
41,1379,Tata Tea Gold,4,80
42,2298,Himalaya Face Wash,1,12
43,2068,Colgate Toothpaste,1,45
44,48,Maggi Noodles,2,180
45,1888,Dove Soap,5,180
46,1241,Red Label Tea,4,80
47,224,Maggi Noodles,5,150
48,3239,Maggi Noodles,4,10
49,1905,Nestle Milk,4,50
50,2811,Maggi Noodles,2,150
51,2838,Ariel Detergent,1,70
52,430,Maggi Noodles,5,10
53,455,Bournvita,1,80
54,231,Amul Butter,1,60
55,3874,Nestle Milk,5,180
56,1879,Britannia Rusk,5,35
57,1786,Fortune Oil,4,300
58,1225,Godrej Hair Dye,4,60
59,2748,Tata Tea Gold,3,40
60,1394,Bournvita,1,180
61,2965,Ariel Detergent,3,180
62,2548,Ariel Detergent,4,120
63,2748,Harpic Toilet Cleaner,4,300
64,333,Himalaya Face Wash,2,35
65,2997,Tata Salt,5,45
66,1755,Harpic Toilet Cleaner,2,180
67,892,Good Day Cookies,4,45
68,398,Dove Soap,5,12
69,2791,Himalaya Face Wash,1,80
70,439,Fortune Oil,4,35
71,37,Himalaya Face Wash,2,40
72,2208,Amul Butter,2,120
73,1291,Godrej Hair Dye,1,120
74,3433,Aashirvaad Atta,5,150
75,1632,Fortune Oil,4,60
76,145,Parle-G Biscuits,4,120
77,262,Parle-G Biscuits,4,60
78,1960,Dettol Liquid,1,200
79,2583,Amul Butter,1,120
80,2820,Amul Butter,3,12
81,1821,Nestle Milk,1,180
82,996,Dove Soap,2,50
83,831,Dove Soap,3,200
84,595,Dettol Liquid,3,300
85,2440,Aashirvaad Atta,4,50
86,183,Parle-G Biscuits,1,200
87,2920,Tata Salt,5,120
88,2360,Dettol Liquid,1,35
89,2605,Good Day Cookies,4,300
90,731,Nestle Milk,1,10
91,782,Colgate Toothpaste,2,300
92,3735,Tata Tea Gold,3,20
93,352,Dettol Liquid,2,40
94,2969,Tata Tea Gold,2,50
95,3702,Ariel Detergent,1,150
96,2823,Maggi Noodles,3,80
97,1638,Maggi Noodles,4,45
