OrderID,CustomerID,OrderDateTime,DeliveryDateTime,TotalAmount,DeliveryStatus
1,17,2024-11-17 22:12:56,2024-11-17 22:27:56,113,Delivered
2,71,2024-11-13 10:52:56,2024-11-13 11:03:56,1170,Delivered
3,2,2024-10-25 03:06:56,2024-10-25 03:17:56,837,Delivered
4,155,2024-10-13 20:52:56,2024-10-13 21:05:56,357,Delivered
5,270,2024-10-22 05:01:56,2024-10-22 05:12:56,410,Delivered
6,108,2024-10-24 16:57:56,2024-10-24 17:11:56,1227,Delivered
7,85,2024-11-16 16:27:56,2024-11-16 16:42:56,1003,Delivered
8,278,2024-10-03 10:55:56,2024-10-03 11:04:56,661,Delivered
9,43,2024-10-27 17:00:56,2024-10-27 17:12:56,552,Delivered
10,198,2024-11-09 00:54:56,2024-11-09 01:10:56,777,Delivered
11,4,2024-09-27 21:42:56,2024-09-27 21:52:56,1005,Delivered
12,17,2024-11-15 03:32:56,2024-11-15 03:42:56,1250,Delivered
13,232,2024-10-14 22:54:56,2024-10-14 23:04:56,1051,Delivered
14,151,2024-10-02 23:27:56,2024-10-02 23:39:56,939,Delivered
15,110,2024-10-12 23:19:56,2024-10-12 23:30:56,1292,Delivered
16,201,2024-11-09 00:17:56,2024-11-09 00:31:56,188,Delivered
17,93,2024-10-01 09:48:56,2024-10-01 10:02:56,1290,Delivered
18,15,2024-10-08 00:28:56,2024-10-08 00:40:56,1193,Delivered
19,157,2024-10-10 12:19:56,2024-10-10 12:30:56,913,Delivered
20,198,2024-11-20 16:10:56,2024-11-20 16:19:56,276,Delivered
21,4,2024-10-17 09:19:56,,678,Cancelled
22,159,2024-10-27 15:02:56,2024-10-27 15:10:56,1352,Delivered
23,55,2024-11-09 13:05:56,2024-11-09 13:22:56,736,Delivered
24,176,2024-10-30 21:44:56,2024-10-30 21:55:56,1484,Delivered
25,269,2024-09-28 23:52:56,2024-09-29 00:01:56,1360,Delivered
26,248,2024-10-27 00:26:56,2024-10-27 00:36:56,1377,Delivered
27,291,2024-10-19 21:51:56,2024-10-19 22:00:56,880,Delivered
28,267,2024-11-16 19:42:56,2024-11-16 19:50:56,596,Delivered
29,110,2024-10-05 16:55:56,2024-10-05 17:08:56,178,Delivered
30,84,2024-11-19 15:24:56,2024-11-19 15:38:56,787,Delivered
31,79,2024-11-23 22:24:56,2024-11-23 22:36:56,1359,Delivered
32,89,2024-11-18 22:18:56,2024-11-18 22:26:56,356,Delivered
33,138,2024-10-26 01:35:56,2024-10-26 01:48:56,763,Delivered
34,4,2024-11-01 08:05:56,2024-11-01 08:17:56,638,Delivered
35,227,2024-11-11 10:36:56,2024-11-11 10:50:56,1209,Delivered
36,76,2024-09-29 08:32:56,2024-09-29 08:40:56,1499,Delivered
37,59,2024-10-23 15:36:56,2024-10-23 15:50:56,1327,Delivered
38,273,2024-10-23 03:38:56,2024-10-23 03:46:56,149,Delivered
39,179,2024-10-20 02:09:56,2024-10-20 02:17:56,549,Delivered
40,82,2024-09-27 13:44:56,2024-09-27 13:52:56,1250,Delivered
41,118,2024-11-13 22:32:56,2024-11-13 22:48:56,219,Delivered
42,78,2024-11-22 18:31:56,2024-11-22 18:47:56,1209,Delivered
43,288,2024-10-07 06:43:56,2024-10-07 06:56:56,1331,Delivered
44,156,2024-10-27 21:53:56,2024-10-27 22:09:56,254,Delivered
45,202,2024-11-12 03:42:56,2024-11-12 03:56:56,287,Delivered
46,241,2024-10-22 07:40:56,2024-10-22 07:57:56,366,Delivered
47,282,2024-10-27 12:33:56,2024-10-27 12:49:56,317,Delivered
48,105,2024-11-18 02:18:56,2024-11-18 02:33:56,835,Delivered
49,195,2024-11-02 11:58:56,2024-11-02 12:13:56,1339,Delivered
50,120,2024-11-04 20:23:56,2024-11-04 20:38:56,762,Delivered
51,248,2024-11-11 08:34:56,2024-11-11 08:42:56,474,Delivered
52,108,2024-10-25 11:27:56,2024-10-25 11:35:56,426,Delivered
53,2,2024-10-25 05:51:56,2024-10-25 06:03:56,712,Delivered
54,124,2024-10-10 09:06:56,2024-10-10 09:14:56,678,Delivered
55,252,2024-10-28 08:28:56,2024-10-28 08:38:56,278,Delivered
56,144,2024-09-30 05:44:56,2024-09-30 05:53:56,155,Delivered
57,116,2024-10-27 03:53:56,2024-10-27 04:01:56,1185,Delivered
58,239,2024-11-12 15:09:56,2024-11-12 15:18:56,669,Delivered
59,48,2024-10-24 03:46:56,2024-10-24 04:02:56,750,Delivered
60,17,2024-10-08 14:53:56,2024-10-08 15:03:56,524,Delivered
61,180,2024-10-03 02:05:56,2024-10-03 02:20:56,451,Delivered
62,176,2024-10-18 08:37:56,2024-10-18 08:54:56,393,Delivered
63,143,2024-10-17 11:58:56,2024-10-17 12:06:56,865,Delivered
